Hour,Access_Control,Alignment,Contributing_Factor,Lighting,Locality,Collision,Road_Type,Severity,Weather,Roadway,Damage,Dr_Age,Dr_Condition,Dr_Gender,Reason,Traffic_Control,Traffic_Condition,Violation,Posted_Speed
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Moderate,Cloudy,Other,Front ,15-24,Unknown,Male,Other,Yellow No Passing Line,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Left Turn,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,65-74,Distracted,Female,Driver Violation,Signal ,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,One-Way Road,Moderate,Clear,Other,Front ,65-74,Normal,Female,Normal Movement,Other,No Controls,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Non-Collision With Motor Vehicle,One-Way Road,Moderate,Clear,Street/Lane/Road,Other,15-24,Normal,Female,Normal Movement,Other,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Other,Front ,45-54,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Avenue,Front ,25-34,Normal,Female,Driver Violation,Other,No Controls,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Drive,Front ,25-34,Fatigued/Illness,Male,Other,Sign,No Controls,Driver Error,20 mph or less
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front ,45-54,Impaired,Female,Driver Condition,Yellow Dashed Line,Controls Functioning,Other,21-30 mph
Off-peak,Partial Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front Left,35-44,Normal,Female,Normal Movement,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Residential ,Rear End,Two-Way Road With No Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Avenue,Other,55-64,Distracted,Male,Normal Movement,Other,Other,Driver Error,31-40 mph
Off-peak,Partial Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Sideswipe,One-Way Road,No Injury,Clear,Other,Front ,35-44,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,21-30 mph
Peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Business,Right Angle,Two-Way Road With A Physical Barrier,No Injury,Clear,Avenue,Rear ,45-54,Distracted,Male,Driver Violation,Signal ,Controls Functioning,Other,41-50 mph
Peak,No Control,Straight-Level,Violations,Dusk/Dawn,Business,Left Turn,One-Way Road,Complaint,Cloudy,Avenue,Left,55-64,Distracted,Male,Driver Violation,Signal ,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Rear ,15-24,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Rain/Fog/Sleet/Snow,Other,Rear ,55-64,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,35-44,Distracted,Male,Other,Other,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Residential ,Other,One-Way Road,No Injury,Clear,Other,Front ,25-34,Impaired,Male,Driver Condition,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Cloudy,Other,Front ,45-54,Distracted,Male,Other,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Other,Two-Way Road With No Physical Separation,Moderate,Clear,Other,Front Left,15-24,Normal,Male,Normal Movement,Other,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Other,Front ,15-24,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Rear End,One-Way Road,No Injury,Clear,Other,Rear ,25-34,Normal,Female,Driver Violation,Other,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Unknown,45-54,Unknown,Unknown,Other,Other,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,One-Way Road,No Injury,Cloudy,Other,Front ,25-34,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Residential ,Other,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,35-44,Other,Male,Normal Movement,Other,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front ,15-24,Normal,Female,Normal Movement,Signal ,Controls Functioning,Driver Error,21-30 mph
Peak,Partial Control,Straight-Level,Violations,Daylight,Residential ,Right Angle,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front ,45-54,Distracted,Female,Driver Condition,Other,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Sideswipe,One-Way Road,No Injury,Clear,Other,Rear ,35-44,Distracted,Female,Driver Condition,White Dashed Line,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,15-24,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Rear ,45-54,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,Full Control,Straight-Level,Other,Dark - Continuous Street Light,Residential ,Other,Two-Way Road With No Physical Separation,Moderate,Clear,Street/Lane/Road,Front ,65-74,Normal,Female,Other,Sign,Controls Functioning,No Violations,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,One-Way Road,Severe,Cloudy,Other,None,25-34,Normal,Male,Normal Movement,Other,No Controls,Driver Condition,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,One-Way Road,No Injury,Cloudy,Street/Lane/Road,Front ,25-34,Normal,Male,Driver Violation,Other,No Controls,Other,21-30 mph
Off-peak,Full Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Residential ,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Left,45-54,Normal,Male,Other,Other,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Front Left,15-24,Normal,Male,Other,Other,No Controls,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Other,Front ,55-64,Distracted,Female,Driver Violation,Signal ,Controls Functioning,Driver Error,41-50 mph
Off-peak,Partial Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Business,Other,Two-Way Road With A Physical Separation,Complaint,Cloudy,Other,Rear ,15-24,Unknown,Female,Driver Violation,Sign,No Controls,Driver Error,51-60 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,No Injury,Cloudy,Other,Front ,25-34,Distracted,Female,Normal Movement,Yellow No Passing Line,Controls Functioning,No Violations,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Right Angle,One-Way Road,Moderate,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front ,15-24,Impaired,Male,Driver Violation,Other,No Controls,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,One-Way Road,No Injury,Clear,Street/Lane/Road,Rear ,25-34,Normal,Female,Driver Violation,Other,No Controls,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Cloudy,Street/Lane/Road,Left,65-74,Normal,Female,Normal Movement,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Head-On,One-Way Road,No Injury,Clear,Other,Front ,25-34,Distracted,Male,Driver Violation,Other,No Controls,Exceeding speed,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Angle,One-Way Road,Complaint,Clear,Street/Lane/Road,Front ,25-34,Distracted,Male,Other,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,Full Control,Curve-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,Moderate,Rain/Fog/Sleet/Snow,Other,Front ,35-44,Normal,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Other,Other,Business,Head-On,One-Way Road,Complaint,Clear,Avenue,Front ,35-44,Impaired,Female,Driver Violation,Other,No Controls,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,25-34,Distracted,Male,Other,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,15-24,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,Partial Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Head-On,Two-Way Road With No Physical Separation,Moderate,Cloudy,Other,Front ,45-54,Unknown,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Dark - No Street Lights,Other,Other,Two-Way Road With No Physical Separation,Moderate,Cloudy,Other,Front Left,15-24,Fatigued/Illness,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Dark - No Street Lights,Other,Other,Two-Way Road With No Physical Separation,Moderate,Cloudy,Other,Front Left,15-24,Fatigued/Illness,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,21-30 mph
Peak,Full Control,Straight-Level,Condition Of Driver,Daylight,Business,Other,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Left,75-Inf,Other,Male,Driver Condition,Sign,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Cloudy,Other,Rear ,35-44,Distracted,Male,Driver Violation,Other,No Controls,Other,31-40 mph
Off-peak,Partial Control,Straight-Level,Other,Dark - No Street Lights,Residential ,Other,Two-Way Road With No Physical Separation,Moderate,Rain/Fog/Sleet/Snow,Other,Front ,15-24,Normal,Male,Driver Violation,Sign,Controls Functioning,Other,31-40 mph
Peak,No Control,Curve-Level,Violations,Daylight,Other,Right Angle,One-Way Road,No Injury,Clear,Drive,Rear ,25-34,Distracted,Female,Driver Violation,Other,No Controls,Other,20 mph or less
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Other,Other,Severe,Clear,Other,Front ,25-34,Unknown,Male,Other,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,15-24,Distracted,Male,Other,Other,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Sideswipe,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Right ,45-54,Impaired,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Non-Collision With Motor Vehicle,One-Way Road,Complaint,Cloudy,Street/Lane/Road,Front ,75-Inf,Fatigued/Illness,Male,Driver Condition,Other,No Controls,Driver Condition,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,45-54,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,One-Way Road,Complaint,Clear,Street/Lane/Road,Front ,35-44,Impaired,Male,Driver Violation,Other,Controls Functioning,Driver Condition,21-30 mph
Off-peak,No Control,Curve-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,Severe,Clear,Other,Front ,25-34,Unknown,Male,Other,Other,No Controls,Driver Error,31-40 mph
Off-peak,No Control,Dip,Violations,Dark - Continuous Street Light,Business,Left Turn,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Rear ,25-34,Normal,Male,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Drive,Front ,25-34,Impaired,Male,Driver Condition,Yellow No Passing Line,Controls Functioning,Driver Condition,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,Two-Way Road With No Physical Separation,Complaint,Cloudy,Street/Lane/Road,Front ,25-34,Normal,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Peak,Partial Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Highway,Rear ,15-24,Normal,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,51-60 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Complaint,Clear,Other,Front ,75-Inf,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Complaint,Clear,Other,Front ,75-Inf,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Other,No Injury,Clear,Avenue,Front ,55-64,Normal,Male,Driver Violation,Other,Controls Functioning,Other,41-50 mph
Off-peak,Full Control,Straight-Level,Violations,Daylight,Business,Sideswipe,Two-Way Road With A Physical Barrier,Moderate,Clear,Street/Lane/Road,Front ,15-24,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,51-60 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,None,25-34,Unknown,Female,Normal Movement,Other,Controls Functioning,Driver Error,41-50 mph
Peak,Partial Control,Curve-Level,Condition Of Driver,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,None,45-54,Unknown,Female,Other,Other,No Controls,Other,21-30 mph
Off-peak,No Control,Hillcrest,Violations,Daylight,Business,Sideswipe,Two-Way Road With A Physical Separation,Complaint,Clear,Avenue,Front Left,45-54,Distracted,Male,Driver Violation,Other,No Controls,Other,31-40 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - No Street Lights,Other,Head-On,Two-Way Road With A Physical Barrier,Complaint,Clear,Other,Front ,25-34,Impaired,Female,Driver Violation,Other,Controls Functioning,Other,61-70 mph
